15:47:08 root:144 - <module>() INFO || -------------------------------------------------------------
15:47:17 DefaultEngine-MultiGrapher:30 - __init__() INFO || DefaultEngine-MultiGrapher Init.
15:47:17 DefaultEngine-MultiGrapher:40 - set_build_config() INFO || Passed Check Req Headers.
15:47:17 multigrapher:403 - build_tree_frame() INFO || Building Tree Frame
15:47:17 multigrapher:354 - build_graphs_frame() INFO || Initiating MG Build Process.
15:47:17 multigrapher:363 - build_graphs_frame() DEBUG || Build slot n=0 - Rowx 0, colx 0
15:47:17 multigrapher:363 - build_graphs_frame() DEBUG || Build slot n=1 - Rowx 0, colx 1
15:47:17 multigrapher:363 - build_graphs_frame() DEBUG || Build slot n=2 - Rowx 1, colx 0
15:47:17 multigrapher:363 - build_graphs_frame() DEBUG || Build slot n=3 - Rowx 1, colx 1
15:47:17 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 0
15:47:17 root:154 - <module>() INFO || App Initialized...
15:53:57 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 2
15:53:57 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 1
15:53:57 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 2
15:53:58 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 3
16:04:35 root:159 - <module>() INFO || app.mainloop() terminated.
16:04:36 queries:13 - <module>() INFO || queries Init.
16:04:36 exceltodataframe:19 - <module>() INFO || exceltodataframe Init.
16:04:36 graphframe:23 - <module>() INFO || graphframe Init.
16:04:36 root:144 - <module>() INFO || -------------------------------------------------------------
16:04:36 root:145 - <module>() INFO || DEBUGLOG @ 180912-1604
16:04:36 root:146 - <module>() INFO || VERSION: v0.2.10.1 - 2018/09/07
16:04:36 root:147 - <module>() INFO || AUTHOR:Justin H Kim
16:04:36 root:148 - <module>() INFO || -------------------------------------------------------------
16:04:36 root:149 - <module>() INFO || datainsightsapp module initialized...
16:04:36 root:151 - <module>() INFO || Collected config2.backend_settings
16:04:36 root:38 - __init__() INFO || DataInsightsApp init started.
16:04:36 __main__:40 - __init__() INFO || Super init completed.
16:04:36 __main__:42 - __init__() INFO || Account id = admin
16:04:36 settingsmanager:26 - __init__() INFO || appwidget-settingsmanager Init.
16:04:36 DefaultEngine-SettingsManager:30 - __init__() INFO || DefaultEngine-SettingsManager Init.
16:04:36 DefaultEngine-SettingsManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:04:36 DefaultEngine-SettingsManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:04:36 settingsmanager:145 - _build_settings() INFO || Building settings.
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-loaddb_on_load = True
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-loaddb_loc = databases\DH_DBS.pickle
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-automatic db export = True
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-automatic export location = exports\databases
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-automatic search export = True
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-automatic export location = exports\search_results
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-setdates_on_load = True
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-colors_preferred = #f5010a-#eae402-#408080-#800080-#0ad2f5-#804040-#299904-#fedf05
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-setdates_gap = 10
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-setdates_from_date = 20180605
16:04:36 settingsmanager:150 - _build_settings() INFO || Building settings: productviewer-automatic export location = exports\product_customer_lists
16:04:36 settingsmanager:174 - _build_entries() INFO || Building entries
16:04:36 settingsmanager:187 - _build_entries() INFO || 0. Unpacking: dbmanager-loaddb_on_load = True
16:04:36 settingsmanager:187 - _build_entries() INFO || 1. Unpacking: dbmanager-loaddb_loc = databases\DH_DBS.pickle
16:04:36 settingsmanager:187 - _build_entries() INFO || 2. Unpacking: dbmanager-automatic db export = True
16:04:36 settingsmanager:187 - _build_entries() INFO || 3. Unpacking: dbmanager-automatic export location = exports\databases
16:04:36 settingsmanager:187 - _build_entries() INFO || 4. Unpacking: analysispage-automatic search export = True
16:04:36 settingsmanager:187 - _build_entries() INFO || 5. Unpacking: analysispage-automatic export location = exports\search_results
16:04:36 settingsmanager:187 - _build_entries() INFO || 6. Unpacking: analysispage-setdates_on_load = True
